time,joint1_desired,joint2_desired,joint3_desired,joint4_desired,joint5_desired,joint6_desired,joint7_desired,joint1_actual,joint2_actual,joint3_actual,joint4_actual,joint5_actual,joint6_actual,joint7_actual
0.191,-0.000525977013547746,-0.00028928735745126027,-0.0006311724162572952,-1.5710157545939847,-0.0012623448325145903,1.571646927010242,-0.7838349962241654,-0.00017063039480560738,0.004782992583298555,-0.00020469461676873103,-1.5754438663807697,-0.0007524864973258533,1.5703751971695465,-0.7847948913954557
0.192,-0.0005341170970814055,-0.000293764403394773,-0.0006409405164976865,-1.5710192483992382,-0.001281881032995373,1.5716601889157358,-0.7838123236494992,-0.00017398606083941025,0.004789472937955636,-0.0002087134732469633,-1.5754531848082405,-0.000761379482733411,1.5703796688978062,-0.7847851820143984
0.193,-0.0005423389955296506,-0.0002982864475413078,-0.0006508067946355807,-1.5710227773202714,-0.0013016135892711615,1.5716735841149068,-0.7837894231957512,-0.0001773880163072409,0.004795837173732533,-0.00021278777516176535,-1.5754624406961522,-0.0007703793121137095,1.5703842299599942,-0.7847753419288019
0.194,-0.0005506430822813902,-0.0003028536952547645,-0.0006607716987376682,-1.571026341517346,-0.0013215433974753364,1.5716871132160837,-0.7837662938229216,-0.00018083661919742196,0.004802086071922456,-0.00021691795245766017,-1.575471635075222,-0.0007794868876730253,1.57038888078867,-0.7847653701617656
0.195,-0.000559029730194,-0.00030746635160670003,-0.0006708356762328001,-1.5710299411504964,-0.0013416713524656001,1.5717007768267293,-0.7837429344924907,-0.00018433222768347618,0.004808220403145317,-0.00022110443530213843,-1.5754807689668882,-0.0007887031115207885,1.5703936218182506,-0.7847552657357648
0.196,-0.0005674993115935541,-0.0003121246213764547,-0.0006809991739122647,-1.571033576379529,-0.0013619983478245295,1.5717145755534414,-0.7837193441674184,-0.0001878752001165851,0.004814240927466036,-0.00022534765407654822,-1.5754898433834073,-0.0007980288856580902,1.5703984534849826,-0.7847450276726717
0.197,-0.0005760521982750536,-0.0003168287090512794,-0.0006912626379300642,-1.5710372473640215,-0.0013825252758601285,1.5717285100019516,-0.7836955218121445,-0.00019146589501812907,0.004820148394511574,-0.0002296480393670841,-1.5754988593279489,-0.0008074651119663088,1.5704033762269134,-0.7847346549937765
0.198,-0.0005846887615026585,-0.0003215788188264622,-0.0007016265138031904,-1.5710409542633246,-0.0014032530276063809,1.5717425807771277,-0.7836714663925867,-0.00019510467107230797,0.0048259435435866966,-0.00023400602195587406,-1.5755078177946913,-0.0008170126921958511,1.570408390483864,-0.7847241467198076
0.199,-0.0005934093720099182,-0.000326375154605455,-0.0007120912464119019,-1.5710446972365604,-0.0014241824928238039,1.5717567884829722,-0.7836471768761407,-0.0001987918871188421,0.004831627103788484,-0.00023842203281216365,-1.5755167197689146,-0.0008266725279550091,1.570413496697401,-0.7847135018709523
0.2,-0.0006022144000000002,-0.00033121792000000003,-0.0007226572800000002,-1.571048476442624,-0.0014453145600000004,1.571771133722624,-0.7836226522316799,-0.0002025279021457516,0.004837199794119613,-0.0002428965030835961,-1.575525566227093,-0.000836445520698931,1.5704186953108104,-0.7847027194668772
0.201,-0.0006111042151459221,-0.0003361073183302571,-0.0007333250581751065,-1.5710522920401826,-0.001466650116350213,1.5717856170983577,-0.783597891429554,-0.0002063130752822147,0.004842662323600407,-0.00024742986408758736,-1.575534358136987,-0.0008463325717187039,1.5704239867690692,-0.7846917985267474
0.202,-0.0006200791865907816,-0.00034104355262492983,-0.0007440950239089379,-1.5710561441876765,-0.0014881900478178759,1.5718002392115855,-0.7835728934415886,-0.00021014776579150277,0.004848015391379676,-0.0002520225473027954,-1.5755430964577335,-0.0008563345821305499,1.5704293715188204,-0.7846807380692472
0.203,-0.0006291396829479866,-0.00034602682562139263,-0.000754967619537584,-1.571060033043318,-0.001509935239075168,1.5718150006628557,-0.783547657241085,-0.00021403233306399242,0.004853259686844364,-0.00025667498436068213,-1.5755517821399363,-0.0008664524528651311,1.5704348500083454,-0.784669537112599
0.20400000000000001,-0.0006382860723014863,-0.0003510573397658174,-0.0007659432867617835,-1.5710639587650923,-0.001531886573523567,1.5718299020518542,-0.7835221818028186,-0.00021796713661025304,0.004858395889728008,-0.0002613876070371677,-1.5755604161257537,-0.0008766870846569661,1.5704404226875384,-0.7846581946745832
0.20500000000000002,-0.0006475187222060001,-0.0003561352972133001,-0.0007770224666472001,-1.571067921510758,-0.0015540449332944002,1.5718449439774052,-0.7834964661030396,-0.00022195253605420954,0.004863424670218026,-0.00026616084724437566,-1.5755689993489872,-0.000887039378033953,1.570446090007881,-0.7846467097725569
0.20600000000000002,-0.0006568379996872501,-0.0003612608998279876,-0.0007882055996247002,-1.5710719214378457,-0.0015764111992494004,1.5718601270374704,-0.7834705091194712,-0.00022598889112637922,0.004868346689061843,-0.0002709951370224685,-1.575577532735168,-0.0008975102333070014,1.570451852422416,-0.7846350814234732
0.20700000000000002,-0.0006662442712421896,-0.0003664343491832043,-0.0007994931254906276,-1.5710759587036596,-0.0015989862509812553,1.5718754518291504,-0.7834443098313091,-0.00023007656165718204,0.00487316259767188,-0.000275890908531572,-1.575586017201643,-0.0009081005505597703,1.570457710385723,-0.7846233086438997
0.20800000000000002,-0.0006757379028392348,-0.0003716558465615791,-0.0008108854834070818,-1.5710800334652777,-0.0016217709668141637,1.5718909189486847,-0.7834178672192219,-0.0002342159075703236,0.004877873038229394,-0.00028084859404378806,-1.5755944536576592,-0.0009188112296385107,1.570463664353892,-0.7846113904500376
0.209,-0.000685319259918494,-0.00037692559295517163,-0.0008223831119021928,-1.5710841458795495,-0.0016447662238043856,1.5719065289914516,-0.7833911802653489,-0.00023840728887624993,0.004882478643787209,-0.00028586862593529464,-1.5756028430044489,-0.0009296431701420143,1.5704697147845006,-0.7845993258577394
0.21,-0.0006949887073919998,-0.0003822437890655999,-0.0008339864488703998,-1.5710882961030996,-0.0016679728977407997,1.57192228255197,-0.7833642479533011,-0.00024265106566567361,0.00488698003837133,-0.0002909514366785323,-1.575611186135312,-0.0009405972714116629,1.570475862136588,-0.7845871138825277
0.211,-0.0007047466096439378,-0.00038761063530416587,-0.0008456959315727255,-1.571092484292325,-0.001691391863145451,1.5719381802238979,-0.7833370692681587,-0.0002469475981031701,0.004891377837081462,-0.0002960974588344761,-1.5756194839356983,-0.0009516744325215834,1.5704821068706314,-0.7845747535396128
0.212,-0.0007145933305308774,-0.0003930263317919825,-0.0008575119966370528,-1.571096710603397,-0.0017150239932741055,1.5719542226000343,-0.7833096431964723,-0.00025129724642084374,0.004895672646190439,-0.0003013071250449918,-1.5756277372832896,-0.0009628755522689012,1.5704884494485223,-0.7845622438439108
